<DATABASE_ID>,<DATABASE_NAME>,<MOLECULAR_WEIGHT>,<JCHEM_ACCEPTOR_COUNT>,<JCHEM_AVERAGE_POLARIZABILITY>,<JCHEM_DONOR_COUNT>,<JCHEM_FORMAL_CHARGE>,<JCHEM_LOGP>,<JCHEM_NUMBER_OF_RINGS>,<JCHEM_PHYSIOLOGICAL_CHARGE>,<JCHEM_PKA>,<JCHEM_PKA_STRONGEST_ACIDIC>,<JCHEM_PKA_STRONGEST_BASIC>,<JCHEM_POLAR_SURFACE_AREA>,<JCHEM_REFRACTIVITY>,<JCHEM_ROTATABLE_BOND_COUNT>,<DRUGBANK_ID>
DB00214,drugbank,348.42,5,36.1517443045435,3,0,1.8639035948569933,2,-1,16.738516496384207,5.922537313388586,4.19782418417848,100.19,91.8931,4,DB00214
DB00215,drugbank,324.3919,3,35.39617876167769,0,0,3.764304206333334,3,1,,9.784977656720883,,36.26,94.0202,5,DB00215
DB00216,drugbank,382.519,3,42.989743083696865,1,0,3.7732624000000015,4,1,17.265395096122138,16.56056550774181,8.373167078122131,53.17,110.94160000000001,6,DB00216
DB00217,drugbank,177.2462,3,20.42707078399872,2,0,1.2665289659999996,1,1,,12.405614447746379,,36.42,54.50240000000001,2,DB00217
DB00218,drugbank,401.4314,7,41.24465784304949,2,0,-0.4989749388152805,5,0,,5.6861297847146455,9.423932936543999,82.11,106.22399999999999,4,DB00218
DB00219,drugbank,348.4996,2,40.64711565047476,1,1,-0.19810528447174525,2,1,,11.534558822440351,-4.31458397106459,46.53,112.61250000000003,9,DB00219
DB00220,drugbank,567.782,5,63.80175119669938,4,0,4.718828143297151,4,1,14.133902964318661,9.317773751033906,8.177132492136975,101.89999999999999,162.67449999999994,10,DB00220
DB00221,drugbank,239.3107,4,26.386918103260275,4,0,1.0474800607789256,1,1,12.644229308321894,10.005785133925038,9.011070484304094,72.72,67.3405,5,DB00221
DB00223,drugbank,410.4515,5,40.94632951709178,3,0,1.3418503866666678,4,0,13.427039727833684,12.418192099162177,-3.330175673881957,94.83000000000001,102.31629999999998,2,DB00223
DB00224,drugbank,613.7895,7,68.62769746136816,4,0,2.809930858,5,1,14.211853983957067,13.191398216294694,7.370810719431644,118.02999999999999,175.8940999999999,12,DB00224
DB00226,drugbank,213.2768,5,23.2297074164034,2,0,0.6234137306666664,2,1,,19.852489384944136,12.555155657498025,82.86,56.5388,2,DB00226
DB00227,drugbank,404.5396,3,46.112664928862706,1,0,3.9021869143333325,3,0,,14.914537666911102,-2.8361812244930835,72.83,113.18239999999999,7,DB00227
DB00228,drugbank,184.492,1,9.743590662177006,0,0,2.7992093016666666,0,0,,-4.979172640295099,,9.23,23.065399999999997,3,DB00228
DB00229,drugbank,525.628,10,49.8683182512362,3,0,-3.0857435970023865,4,0,11.261707912715334,2.794902086438576,8.363572270472858,172.46,142.33649999999994,10,DB00229
DB00230,drugbank,159.2261,3,18.083154752243782,2,0,-1.3455846782464078,0,0,,4.800920428196899,10.229664216443084,63.31999999999999,43.68,5,DB00230
DB00231,drugbank,300.74,3,30.321185781972662,1,0,2.7873468803333337,3,0,,10.676492661664243,-1.3993224777863982,52.9,81.01030000000003,1,DB00231
DB00232,drugbank,360.237,5,31.653761130306084,2,0,0.5283252613333335,2,0,10.539645568265414,9.29168730608368,-3.395929672638892,109.57,77.27770000000002,2,DB00232
DB00233,drugbank,153.1354,4,14.29465219368035,3,0,0.82507511626819,1,-1,13.223689649295505,3.675350131493757,2.1883174763812283,83.55,39.9955,1,DB00233
DB00234,drugbank,313.397,4,34.506777670468736,1,0,3.27581463,3,1,,7.910514199220149,,39.72,89.4849,6,DB00234
DB00235,drugbank,211.2194,3,21.455185599670727,1,0,0.32901938366666683,2,0,,7.536810724750762,4.817991459099392,65.78,61.138100000000016,1,DB00235
DB00236,drugbank,356.054,2,28.439271640930805,0,0,0.4107813379999997,1,0,,-0.7181493734636274,,40.620000000000005,69.45280000000001,4,DB00236
DB00237,drugbank,212.2456,3,21.410874790436942,2,0,1.4486825816666666,1,0,12.151890058493215,8.482024390046842,,75.27,53.40189999999999,3,DB00237
DB00238,drugbank,266.2979,4,27.79965668476118,1,0,2.488042778666667,4,0,,10.371185534086782,5.05792102225345,58.120000000000005,77.482,1,DB00238
DB00239,drugbank,429.12,3,40.79437020696298,0,0,5.838766547333333,3,1,,6.738241434816746,,39.41,105.94699999999999,6,DB00239
DB00240,drugbank,408.916,5,42.87866433858068,3,0,1.6837898096666655,4,0,13.861031389302607,12.45061451769192,-2.852473854340941,94.83,107.60839999999997,2,DB00240
DB00241,drugbank,224.2563,3,22.424209910653055,2,0,1.5892632603333325,1,0,12.151206288215347,8.481397724138178,,75.27,58.047,4,DB00241
DB00242,drugbank,285.687,7,25.933311613576564,3,0,-0.2817754633333334,3,0,14.784914754981045,13.886716048865388,1.3268966303757452,119.30999999999999,67.18350000000001,2,DB00242
DB00243,drugbank,427.5365,6,47.21813650301277,2,0,2.832460428666666,3,1,14.254038357245086,13.600030535011875,7.165346303523951,74.27000000000001,123.46040000000002,9,DB00243
DB00244,drugbank,153.1354,4,14.263819873124916,3,0,-0.28978240563320434,1,-1,15.475226170274773,2.024188346479524,5.871587939823654,83.55,39.9955,1,DB00244
DB00246,drugbank,412.936,4,44.95709596112768,1,0,4.304046458666667,5,1,14.886130352471191,13.181677746261201,7.0878561845648225,48.470000000000006,116.72480000000002,4,DB00246
DB00247,drugbank,353.458,3,40.406638307352964,2,0,1.816894446333333,4,1,15.999869651456585,15.00651187764884,7.854388664235875,57.5,104.4726,4,DB00247
DB00248,drugbank,451.6043,4,52.495202152505456,2,0,2.5785162679999996,4,2,17.065609828855507,15.248915988620418,9.320571036379302,71.67999999999999,133.5029,8,DB00248
DB00249,drugbank,354.0985,5,26.170744978009015,3,0,-0.5289186266666662,2,0,13.907879720516654,8.456081807252897,-2.978083591952415,99.09999999999998,64.40390000000001,2,DB00249
DB00250,drugbank,248.301,4,25.05031116592678,2,0,1.2702285519999998,2,0,,2.391712007947518,,86.17999999999999,68.99100000000001,2,DB00250
DB00251,drugbank,532.462,7,56.15330616306304,0,0,5.374220876333333,5,1,,8.409370512807275,,64.88,153.18939999999995,8,DB00251
DB00252,drugbank,252.268,2,25.481526782246732,2,0,2.1479203806666667,3,0,14.714766209042523,9.466258048092149,-9.048670716437757,58.2,70.18230000000003,2,DB00252
DB00253,drugbank,344.4877,3,39.916409731169125,1,0,3.1268587000000005,4,0,19.73356965070513,19.136773343262778,-0.259491695774292,54.37,98.84639999999999,1,DB00253
DB00255,drugbank,268.356,2,30.69005777835331,2,0,5.193882748,2,0,9.231491526289268,8.629198524189572,-6.456792337140983,40.46,83.2406,4,DB00255
DB00257,drugbank,344.837,1,36.248842985286885,0,0,5.8394516706666675,4,0,,6.62392164146992,,17.82,103.76450000000004,4,DB00257
DB00259,drugbank,172.205,3,16.248819900649025,2,0,-0.24964936833333337,1,0,,10.990054903867138,2.2653256426712796,86.17999999999999,42.91630000000001,1,DB00259
DB00260,drugbank,102.0919,3,8.866828037173109,2,0,-2.421332341545318,1,0,19.998851660051976,4.210086895651751,8.36186365215875,64.35,21.848800000000004,0,DB00260
DB00261,drugbank,256.088,3,23.610620596496467,1,0,1.9439308199999998,3,0,,12.548791740536455,3.6198612137806108,44.7,63.250600000000006,0,DB00261
DB00262,drugbank,214.05,2,18.795479653468988,1,0,1.0226562823333332,0,0,,11.96314288261912,-5.344505514075846,61.77,46.9797,5,DB00262
DB00263,drugbank,267.304,4,26.92608944822496,2,0,0.7306131126666664,2,-1,,5.804935006005729,2.1668008239015366,98.22,67.91860000000001,2,DB00263
DB00264,drugbank,267.3639,4,31.89589107426743,2,0,1.7586571139999996,1,1,,14.087971415863102,9.666166605708499,50.72,76.69760000000002,9,DB00264
DB00265,drugbank,203.2802,1,23.071550890834295,0,0,3.088179597666667,1,0,,-0.601318679612301,,20.310000000000002,64.1479,3,DB00265
DB00266,drugbank,336.295,4,32.31505969606336,2,0,-1.5927893718444859,4,-1,10.35400343846115,-11.942615868512426,-3.1001245556623425,93.06000000000002,89.19280000000002,2,DB00266
DB00267,drugbank,511.558,11,47.03942523758754,3,0,-0.8305956767772057,4,-1,10.802941968115748,3.036699292379528,4.14174647538487,190.81,133.5115,8,DB00267
DB00268,drugbank,260.3746,2,31.19349866501594,1,0,3.0607688583333332,2,1,15.550650015545543,13.235697578459842,10.172217699351425,32.34,81.4278,7,DB00268
DB00269,drugbank,380.864,3,41.6042539099155,0,0,5.427334731,3,0,,-4.35168051124204,,27.69,119.17130000000003,6,DB00269
DB00270,drugbank,371.3871,5,37.38681687272389,1,0,1.9989157586666682,3,0,,5.329899293934086,,103.55000000000001,100.08420000000001,6,DB00270
DB00271,drugbank,613.9136,4,38.42827169751957,3,0,2.8930828936666666,1,-1,11.841682571367873,2.167669970099123,-4.240460823875686,95.5,103.12769999999999,3,DB00271
